max_depth,tcam_entries,name
3,183,netbeacon
4,280,netbeacon
5,474,netbeacon
6,842,netbeacon
7,1537,netbeacon
8,2639,netbeacon
9,4470,netbeacon
10,7178,netbeacon
11,11670,netbeacon
12,18059,netbeacon
13,26525,netbeacon
14,35869,netbeacon
15,22003,netbeacon
16,15146,netbeacon
17,8230,netbeacon
18,8238,netbeacon
19,8240,netbeacon
20,8223,netbeacon
21,8223,netbeacon
22,8223,netbeacon
23,8223,netbeacon
24,8223,netbeacon
25,8223,netbeacon
26,8223,netbeacon
27,8223,netbeacon
28,8223,netbeacon
29,8223,netbeacon
30,8223,netbeacon
5,189,cap
6,392,cap
7,713,cap
8,387,cap
9,759,cap
10,873,cap
11,1864,cap
12,3798,cap
13,2855,cap
14,4080,cap
15,4411,cap
16,6652,cap
17,22885,cap
18,29371,cap
19,34659,cap
20,30149,cap
21,33388,cap
22,35174,cap
23,37204,cap
24,38745,cap
25,34157,cap
26,31672,cap
27,27840,cap
28,28935,cap
29,30484,cap
30,29695,cap
