name,tcam_entries,f1_score
netbeacon,86,0.18
netbeacon,111,0.18
netbeacon,948,0.43
netbeacon,3041,0.44
netbeacon,4125,0.44
leo,2048,0.46
leo,4096,0.47
leo,16384,0.52
leo,65536,0.53
leo,262144,0.55
leo,1048576,0.56
leo,4194304,0.56
cap,8,0.0374614723231784
cap,10,0.03855560392863999
cap,18,0.06862852621572618
cap,21,0.06863566685553281
cap,36,0.08169964614369883
cap,54,0.08582482516163165
cap,83,0.08632841354312394
cap,103,0.15021544356423133
cap,149,0.17963177361316388
cap,156,0.22186573214050162
cap,174,0.3017827619815531
cap,175,0.3672146240484169
cap,309,0.37834995511186825
cap,518,0.3844217327655531
cap,554,0.3849671535171284
cap,566,0.4202337946866957
cap,586,0.42824375884783655
cap,703,0.46398829819749016
cap,910,0.4661224068063684
cap,942,0.47345469077151314
cap,1072,0.55
cap,1512,0.56
cap,1573,0.56
cap,2433,0.562685064604103
cap,2666,0.5655923183714222
cap,2887,0.5726767668797553
cap,2980,0.5776413195656706
cap,3360,0.5790760157890301
cap,3389,0.5796991996366844
cap,3402,0.5797861798711867
cap,3802,0.5816115163460093
cap,5165,0.5816115163460093
cap,8305,0.5816115163460093
cap,11433,0.5816115163460093
