model,dataset,num_flows,inference_time_us
netbeacon,D1,100K,67190614.41
netbeacon,D1,500K,67174017.26
netbeacon,D1,1M,67082343.09
netbeacon,D2,100K,29893832.56
netbeacon,D2,500K,29964133.95
netbeacon,D2,1M,29932239.79
netbeacon,D3,100K,37683635.49
netbeacon,D3,500K,37587075.71
netbeacon,D3,1M,37610954.14
netbeacon,D4,100K,3267614.98
netbeacon,D4,500K,3268789.44
netbeacon,D4,1M,3262569.95
netbeacon,D5,100K,73273866.06
netbeacon,D5,500K,73481526.2
netbeacon,D5,1M,73406922.15
netbeacon,D6,100K,31528467.53
netbeacon,D6,500K,31502637.47
netbeacon,D6,1M,31576040.97
netbeacon,D7,100K,3814361.38
netbeacon,D7,500K,3810372.99
netbeacon,D7,1M,3812246.33
leo,D1,100K,100252018.05
leo,D1,500K,100252018.05
leo,D1,1M,100252018.05
leo,D2,100K,47232995.12
leo,D2,500K,47232995.12
leo,D2,1M,47232995.12
leo,D3,100K,69349235.99
leo,D3,500K,69349235.99
leo,D3,1M,69349235.99
leo,D4,100K,8816035.26
leo,D4,500K,8816035.26
leo,D4,1M,8816035.26
leo,D5,100K,100569989.87
leo,D5,500K,100569989.87
leo,D5,1M,100569989.87
leo,D6,100K,40605876.46
leo,D6,500K,40605876.46
leo,D6,1M,40605876.46
leo,D7,100K,8208916.25
leo,D7,500K,8208916.25
leo,D7,1M,8208916.25
cap,D1,100K,81079640.94
cap,D1,500K,81094678.62
cap,D1,1M,100252018.05
cap,D2,100K,39395993.14
cap,D2,500K,38240772.37
cap,D2,1M,39331993.52
cap,D3,100K,57813470.41
cap,D3,500K,56721926.02
cap,D3,1M,69349235.99
cap,D4,100K,8816035.26
cap,D4,500K,8816035.26
cap,D4,1M,8816035.26
cap,D5,100K,83671952.31
cap,D5,500K,100569989.87
cap,D5,1M,100569989.87
cap,D6,100K,33825234.74
cap,D6,500K,32854096.66
cap,D6,1M,33840055.59
cap,D7,100K,6826751.55
cap,D7,500K,6971679.53
cap,D7,1M,8208916.25
