name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
netbeacon,0,0.36,0,0,9,65536,0,6,4470,4470.0,37748736.0,30.0
netbeacon,0,0.36,0,0,9,98304,0,6,4470,4470.0,37748736.0,30.0
netbeacon,0,0.36,0,0,9,196608,0,6,4470,4470.0,37748736.0,30.0
netbeacon,0,0.36,0,0,9,262144,0,5,4559,4559.0,47185920.0,37.5
netbeacon,0,0.36,0,0,9,294912,0,5,4559,4559.0,47185920.0,37.5
netbeacon,0,0.36,0,0,10,393216,0,5,4667,4667.0,62914560.0,50.0
netbeacon,0,0.3,0,0,9,491520,0,3,6102,6102.0,56623104.0,45.0
netbeacon,0,0.3,0,0,9,589824,0,3,6102,6102.0,56623104.0,45.0
netbeacon,0,0.16,0,0,9,688128,0,2,907,907.0,62914560.0,50.0
netbeacon,0,0.16,0,0,9,786432,0,2,907,907.0,62914560.0,50.0
netbeacon,0,0.16,0,0,9,884736,0,2,907,907.0,62914560.0,50.0
netbeacon,0,0.16,0,0,9,983040,0,2,907,907.0,62914560.0,50.0
leo,0,0.39,0,0,11,65536,0,7,16384,16384.0,14680064.0,11.67
leo,0,0.39,0,0,10,98304,0,7,8192,8192.0,44040192.0,35.0
leo,0,0.39,0,0,10,196608,0,7,8192,8192.0,44040192.0,35.0
leo,0,0.36,0,0,9,262144,0,6,4096,4096.0,75497472.0,60.0
leo,0,0.36,0,0,9,294912,0,6,4096,4096.0,75497472.0,60.0
leo,0,0.36,0,0,9,393216,0,6,4096,4096.0,75497472.0,60.0
leo,0,0.28,0,0,6,491520,0,4,2048,2048.0,75497472.0,60.0
leo,0,0.28,0,0,6,589824,0,4,2048,2048.0,75497472.0,60.0
leo,0,0.22,0,0,10,688128,0,2,8192,8192.0,44040192.0,35.0
leo,0,0.22,0,0,8,786432,0,2,2048,2048.0,50331648.0,40.0
leo,0,0.19,0,0,5,884736,0,2,2048,2048.0,56623104.0,45.0
leo,0,0.13,0,0,3,983040,0,2,2048,2048.0,62914560.0,50.0
cap,62,0.43548448846021337,4,16488,42,65536,5,41,2849,19337.0,12582912.0,10.0
cap,62,0.43548448846021337,4,16488,42,98304,5,41,2849,19337.0,12582912.0,10.0
cap,0,0.4340822297670785,3,19590,45,196608,5,43,5686,25276.0,18874368.0,15.0
cap,87,0.415389238811966,3,12533,46,262144,4,34,847,13380.0,37748736.0,30.0
cap,87,0.415389238811966,3,12533,46,294912,4,34,847,13380.0,37748736.0,30.0
cap,87,0.415389238811966,3,12533,46,393216,4,34,847,13380.0,37748736.0,30.0
cap,0,0.36,3,0,12,491520,1,3,3798,3798.0,47185920.0,37.5
cap,0,0.36,3,0,13,589824,1,3,5522,5522.0,56623104.0,45.0
cap,0,0.24,2,0,13,688128,1,2,1244,1244.0,62914560.0,50.0
cap,0,0.24,2,0,13,786432,1,2,1244,1244.0,62914560.0,50.0
cap,0,0.24,2,0,13,884736,1,2,1244,1244.0,62914560.0,50.0
cap,0,0.24,2,0,13,983040,1,2,1244,1244.0,62914560.0,50.0
